phaseFrac,spacingFactor,widthFactor,helixPlusWeight,anglePlusDeg,helixMinusWeight,angleMinusDeg,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,jointRingWidthFactor,middleRingWeight,baseDensity,eval,VF,stressRatio,dispRatio,maxHM,maxAbsUz
9.99999999828602e-09,17.9067237246458,0.903060529862274,0.798396925109641,44.9960808759489,0.798396924682684,44.9960808597836,0.35030086423377,0.350113776897926,4e-09,12.00000068,0.750259239330904,3.00541533821174,1.5e-08,0.0400269662745663,63,0.356292957591501,1.83548441053444,0,6973285.381467,0.0586061482588647
9.99999999838518e-09,17.916852763648,0.902620545523269,0.798628065516351,45.0015850547329,0.798628065131878,45.001585040562,0.350258287331211,0.350097185762039,4e-09,12.00000068,0.750219629196627,3.0046364019381,1.5e-08,0.040023101845088,64,0.38532609581405,1.53528649804607,0,5832787.69993533,0.046056641704464
9.99999999845456e-09,17.9239464846172,0.902312676072746,0.798789858284459,45.0054379798221,0.798789857929723,45.0054379670473,0.350228484180528,0.350085572070694,4e-09,12.00000068,0.750191902101891,3.00409125052722,1.5e-08,0.0400203970073498,65,0.405649292569836,1.35813910579366,0,5159777.7230219,0.0393226544632979
9.99999999850312e-09,17.9289137508535,0.90209722608587,0.798903110509703,45.0081350272417,0.798903110175781,45.0081350154441,0.350207622308996,0.350077442537615,4e-09,12.00000068,0.750172493135259,3.00370969549072,1.5e-08,0.0400185037497447,66,0.419875530298885,1.24788041060433,0,4740888.11386443,0.0353671822328677
9.99999999853716e-09,17.9323916509219,0.901946439833622,0.79898238573509,45.0100229603265,0.798982385415739,45.0100229492129,0.350193019162625,0.350071751889387,4e-09,12.00000068,0.750158906858477,3.00344263193142,1.5e-08,0.0400171785325362,67,0.42983389670922,1.17673478955617,0,4470595.04225722,0.0329068497014219
9.99999999856096e-09,17.9348265795261,0.901840903542578,0.799037877738948,45.0113445134191,0.799037877429795,45.0113445027844,0.350182797040404,0.350067768447842,4e-09,12.00000068,0.750149396464668,3.00325569967343,1.5e-08,0.0400162509114157,68,0.436804753196453,1.12967646815529,0,4291813.2978753,0.0313179559209302
9.99999999857763e-09,17.9365312247875,0.901767035042001,0.799076721820856,45.0122696005466,0.799076721518842,45.0122695902471,0.350175641594174,0.350064980044747,4e-09,12.00000068,0.750142739188973,3.00312485308729,1.5e-08,0.0400156015917845,69,0.441684352737517,1.09801219774431,0,4171515.90242787,0.030265701519644
9.99999999858928e-09,17.9377245721185,0.90171533047457,0.799103912520874,45.0129171615161,0.799103912223858,45.0129171514512,0.350170632801085,0.350063028165514,4e-09,12.00000068,0.750138079095972,3.00303326341427,1.5e-08,0.0400151470754677,70,0.445100072416262,1.07645066925248,0,4089600.3652698,0.0295568263673608
9.99999999859745e-09,17.9385599621115,0.90167913893517,0.799122945933757,45.0133704541844,0.799122945640239,45.0133704442838,0.350167126655367,0.350061661851488,4e-09,12.00000068,0.750134817030866,3.00296915208244,1.5e-08,0.040014828917684,71,0.447491076191383,1.06164600523821,0,4033355.18739972,0.0290736453466112
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,72,0.449164778833969,1.05441707871915,0,4005891.39237663,0.0287416256637671
6.91830973090741e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,73,0.44916477883397,1.05441707751473,0,4005891.38780082,0.028741625661171
9.99999999860317e-09,17.8026251784845,0.901653805669965,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,74,0.449164778833969,1.06022696765674,0,4027964.04707416,0.0288144151667181
9.99999999860317e-09,17.9391447580664,0.893942079207391,0.799136269284967,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,75,0.449164778833969,1.06997914400701,0,4065014.05326898,0.0287773772946134
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.806598939721032,45.0136877590471,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,76,0.449164778833969,1.06291104670548,0,4038161.27298677,0.0287353466767724
9.99999999860317e-09,17.9391447580664,0.901653805669965,0.799136269284967,45.2636779824309,0.799136268993897,45.0136877492614,0.350164672357992,0.350060705432374,4e-09,12.00000068,0.750132533585288,3.0029242748554,1.5e-08,0.0400146062090182,77,0.449164778833969,1.06221978137471,0,4035535.05050396,0.0286623307251609
